author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,created_at.y,username,location,verified,name,url,description
362097357,2021-04-21T02:51:43.000Z,1384701353155612674,es,@Chucurumbito @Poracando @felipekast No aprenden Siguen pactando Y nos declaran ultra derecha por advertirles una y otra vez que social/comunismo es una desgracia p/cualquier país Más extraña que tú Felipe conociendo y estudiando en Cuba a estos miserables Creas en sus compromisos Democracia? La destruyen Entiende!,0,0,0,0,2011-08-25T21:05:17.000Z,AndradeMagaly,Chile,FALSE,andrade magaly,"",Por la derecha siempre Ex esposa insuperable Madre extraordinaria Emprendedora fanática Estudiosa y trabajólica Twitera emergente
362105582,2021-04-20T17:25:06.000Z,1384558757284360192,es,"@felipekast @senadornavarro Sr.  Kast Usted del Sename se olvidó? Ya no dice ni pío, usted se encuentra calificado para estar en la comisión?",0,0,0,0,2011-08-25T21:22:32.000Z,RaulEduardoGon,"Coquimbo, Chile",FALSE,Raul Eduardo,"",Caerán los ladrones y usurpadores de éste país???
394064789,2021-04-20T17:06:32.000Z,1384554084011810819,es,@felipekast @senadornavarro Con q moral reclama ahora?,0,0,0,0,2011-10-19T14:30:36.000Z,Chofy_yo,Santiago de Chile,FALSE,ZophieSol 🇨🇭🌷🇨🇭,"","Siempre a la derecha, respetuosa de las FFAA y Carabineros. 

Ni -perdón -ni -olvido. 
Por un Chile masacrado por los comunistas."
42273081,2021-04-21T01:36:02.000Z,1384682305525108738,es,"@felipekast que pasó con los niños primero? Quien se hará cargo de todo el daño a largo plazo de tenerlos encerrados y sin colegio presencial? Necesitamos líderes que se la jueguen por nuestros niños, por favor toma el liderazgo",0,0,0,0,2009-05-24T20:12:18.000Z,gerardomartio,"",FALSE,Gerardo Martí,"","papá, profesional, niño y cruzado"
4314194367,2021-04-21T02:21:47.000Z,1384693818403041280,es,"@felipekast y @chahuan
Espero que se marginen de la Comisión de #DDHH del Senado mientras continue el circo de tener en la Presidencia a Alejandro Navarro (soldado de Maduro), quien abiertamente apoya la narcodictadura en Venezuela.

#OposicionMiserable",0,0,0,0,2015-11-29T04:22:14.000Z,candrews_mv,"",FALSE,Carlos Alberto Andrews MV 🇨🇱,"","Médico Veterinario, CVD, cruzado, independiente de derecha, conservador, creyente, hijo, hermano, marido y padre."
440292835,2021-04-21T01:14:44.000Z,1384676943824576514,es,@jmanalich @felipekast Tira humo en otro lado,0,0,0,0,2011-12-18T20:20:28.000Z,janolagos,chillan,FALSE,gabriel lagos,"",aburrido de la cobarde sensacion de estafa por parte de las Afp
44806275,2021-04-20T18:07:26.000Z,1384569412997550081,es,@sebastianpinera @HernanLarrain @felipekast  secuaces de Rusck https://t.co/YT0RK4y8gZ,0,0,0,0,2009-06-05T03:06:07.000Z,jotabrain,"",FALSE,Juan Carlos R.C. #VotoPatriota #NoMasONU #NoMasOMS,"",Los lugares más oscuros del infierno están reservados para aquellos que mantienen su neutralidad en tiempos de crisis moral.
477967457,2021-04-21T00:38:18.000Z,1384667776804077572,es,@javiparada @felipekast @ignaciobriones_ Briones este es el que no APROBABA EL RETIRO MIRA COMO SE DA VUELTA LA CHAQUETA EL WEON,0,0,0,0,2012-01-29T19:20:24.000Z,luisiglesias9,"calama,chile",FALSE,luis iglesias,"",""
477967457,2021-04-21T00:34:48.000Z,1384666895417319425,es,@Panchoundurraga @felipekast Se olvido el briones que no aprobaba el retiro del 10% como se dan vuelta la chaqueta weones,0,0,0,0,2012-01-29T19:20:24.000Z,luisiglesias9,"calama,chile",FALSE,luis iglesias,"",""
480576654,2021-04-21T03:51:13.000Z,1384716326913064965,es,@ipoduje @felipekast Me extraña que el senador de la república @felipekast no sepa que una acusación constitucional no es romper la democracia... uno espera un mínimo de conocimiento al respecto. Romper la democracia fue el 73.,0,0,0,0,2012-02-01T17:12:49.000Z,abel_mendozap,Chile,FALSE,Abel,"",Sureño en Santiago...
491918973,2021-04-20T19:14:05.000Z,1384586185255931910,es,"@felipekast @senadornavarro Poner al tipo más despreciable del congreso de presidente de la comisión de DDHH, es una burla para todos los ciudadanos, incluyendo a los inmigrantes venezolanos. Este congreso es un asco! Senador Kast, lo felicito por si intervención, legítima y directa al soldado chavista.",3,0,7,0,2012-02-14T04:54:03.000Z,EstellaCordova,"Granada, Spain",FALSE,Cordova Estela,"","La verdadera ignorancia no es la falta de conocimientos, si no el hecho de rehusarse a adquirirlos. Karl Popper."
